"accountNo","allowZeroQuantities","allowZeroValues","altDescription","canGLAccountBeDeleted","checkAccount","conCanGLAccountBeDeleted","currencyChanged","description","displayInTranLedger","doesRequireFCRevaluation","entryTimeStamp","entryUser","getAccountCodeWeb3D","getAccountNo","getAccountNoPadded","getAllSegments","getAlternateNumber","getAssignedSecurityTeam","getFCReportingRateType","getFirstMoveDate","getMasterfilesString","getModuleCurrentPeriod","getName","getObjectDisplayText","getSegment","getTreesString","getUnrealisedGainLossAccount","gtGetOwnerModule","isAcctInRetainedEarningsRange","isAddTotalsToRetainedEarnings","isAllowedReconciliation","isBalanceSheetAccount","isConMethodTransaction","isCreditAccount","isDebitAccount","isEliminationAccount","isInactive","isMonetaryItem","isPosting","isPrintingInDetail","isProfitLossAccount","isQuantityAccount","isReadyForDeletion","isTranslationAtTransaction","modifiedTimeStamp","modifiedUser","myARPrepareStatement","myAccountSign","myAccountType","myAdvanceReceiptControl","myAllowedRecAssignSecurityTeam","myAllowedRecGLControl","myAssignedSecurityTeam","myBankAccount","myBankGLControl","myCashAnalysis","myCreditorsGLControl","myCurrency","myDebitorsGLControl","myDiscountAllowedGLControl","myDiscountReceivedGLControl","myEliminationConCompany","myExchangeVarianceGLControl","myFACapProfitGLControl","myFACostGLControl","myFADepnRecovGLControl","myFADepreciationGLControl","myFADisposeClearGLControl","myFALossSaleGLControl","myFALossWOffGLControl","myFAProvDepnGLControl","myFAPurchClearGLControl","myFARevalReserveGLControl","myFCRateType","myForeignGLControl","myGLControl","myINManufCostVarGLControl","myINPurchCostVarGLControl","myINSalesCostVarGLControl","myInputTaxGLControl","myKeepTransactions","myMostFuturePeriodSummary","myOffsetControl","myOutputTaxGLControl","myParentMDAObject","myReconciliationType","myRetainedEarningsGLControl","myRevaluationCurrency","myStatus","mySuspenseGLControl","myTaxClass","myTaxCode","myUnrealisedGainLossGLAccount","myWithholdingTaxGLControl","needToCalculateTranslationBal","notes","oid","reCalculateOpeningBalances","securityLevel","shortCode","spreadCode","statActualRate","statBudgetRate","statUnit","useFCHistoricalRates","useFCRevaluation"
"01.40.420.000.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,SUBSCRIPTION & MEMBERSHIP FEES,false,false,2001-11-25 11:26:14.0,,"01.40.420.000.0000","01.40.420.000.0000","01.40.420.000.0000","0000310.0000000682 (t)",,"0008994.0000000012","0000000.0000000000",2000-03-31,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.40.420.000.0000,GL Account [01.40.420.000.0000] [] [SUBSCRIPTION & MEMBERSHIP FEES],,"Account Tree: Active, ADMINISTRATION, Budget Check, OLAA SUBSCRIPTIONS, OTHER EXPENSES
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,2017-02-24 16:55:11.229,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000006","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002581281","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000044","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000000796",,0,,,0,0,,false,false
"01.80.312.000.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,SEVERANCE PAY,false,false,2001-11-25 11:35:34.0,,"01.80.312.000.0000","01.80.312.000.0000","01.80.312.000.0000","0000310.0000000683 (t)",,"0008994.0000000016","0000000.0000000000",2000-05-31,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.80.312.000.0000,GL Account [01.80.312.000.0000] [] [SEVERANCE PAY],,"Account Tree: Active, Budget Check, EMPLOYEE BENEFITS EXPENSE, OLAA STUDENT SER - LABOUR COST, SALARIES & ONCOSTS
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,2017-01-16 17:18:17.705,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000010","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002652450","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000041","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000001632",,0,,,0,0,,false,false
"01.80.425.101.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,TELEPHONE & FACSIMILE CHARGES,false,false,2001-11-25 11:35:57.0,,"01.80.425.101.0000","01.80.425.101.0000","01.80.425.101.0000","0000310.0000000684 (t)",,"0008994.0000000016","0000000.0000000000",2000-01-31,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.80.425.101.0000,GL Account [01.80.425.101.0000] [] [TELEPHONE & FACSIMILE CHARGES],,"Account Tree: Budget Check, COMMUNICATION EXPENSE, Inactive, OLAA TELEPHONE, TELEPHONE & INTERNET
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,2017-02-07 14:32:26.249,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000010","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002652975","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000041","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000001672",,0,,,0,0,,false,false
"01.80.440.000.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,SUNDRY EXPENSES,false,false,2001-11-25 11:35:58.0,,"01.80.440.000.0000","01.80.440.000.0000","01.80.440.000.0000","0000310.0000000685 (t)",,"0008994.0000000016","0000000.0000000000",2002-04-30,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.80.440.000.0000,GL Account [01.80.440.000.0000] [] [SUNDRY EXPENSES],,"Account Tree: Active, ADMINISTRATION, Budget Check, OLAA SUNDRY, OTHER EXPENSES
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,2017-01-03 10:25:27.598,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000010","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002653019","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000041","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000001676",,0,,,0,0,,false,false
"01.80.520.101.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,ACCOMMODATION - DOMESTIC,false,false,2001-11-25 11:36:10.0,,"01.80.520.101.0000","01.80.520.101.0000","01.80.520.101.0000","0000310.0000000686 (t)",,"0008994.0000000016","0000000.0000000000",2003-08-20,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.80.520.101.0000,GL Account [01.80.520.101.0000] [] [ACCOMMODATION - DOMESTIC],,"Account Tree: Budget Check, Inactive, OLAA TRAVEL, OTHER EXPENSES, TRAVEL
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,2017-02-07 14:47:38.287,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000010","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002653272","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000041","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000001697",,0,,,0,0,,false,false
"01.80.520.601.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,CONFERENCE REG - DOMESTIC,false,false,2001-11-25 11:36:12.0,,"01.80.520.601.0000","01.80.520.601.0000","01.80.520.601.0000","0000310.0000000687 (t)",,"0008994.0000000016","0000000.0000000000",2007-10-31,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.80.520.601.0000,GL Account [01.80.520.601.0000] [] [CONFERENCE REG - DOMESTIC],,"Account Tree: Budget Check, Inactive, OLAA TRAVEL, OTHER EXPENSES, TRAVEL
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,2017-02-07 14:44:34.652,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000010","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002653360","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000041","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000001705",,0,,,0,0,,false,false
"01.70.340.000.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,TRAINING & DEVELOPMENT,false,false,2001-11-29 09:28:52.0,,"01.70.340.000.0000","01.70.340.000.0000","01.70.340.000.0000","0000310.0000000688 (t)",,"0008994.0000000015","0000000.0000000000",2001-11-29,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.70.340.000.0000,GL Account [01.70.340.000.0000] [] [TRAINING & DEVELOPMENT],,"Account Tree: Active, Budget Check, OLAA STAFF TRAIN, OTHER EXPENSES, TRAINING
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,2017-02-06 15:20:26.245,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000009","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002643442","0000000.0000000000","0000000.0000000000","0004708.0000001513","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000044","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000001931",,0,,,0,0,,false,false
"01.86.324.000.0000",true,true,,You cannot delete this account as it is used in a transaction tree query,,,,COMMISSIONS,false,false,2006-12-20 09:59:14.0,,"01.86.324.000.0000","01.86.324.000.0000","01.86.324.000.0000","0000310.0000000689 (t)",,"0008994.0000000018","0000000.0000000000",,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.86.324.000.0000,GL Account [01.86.324.000.0000] [] [COMMISSIONS],,"Account Tree: Budget Check, EMPLOYEE BENEFITS EXPENSE, Inactive, OLAA SALARIES, SALARIES & ONCOSTS
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,2017-02-07 14:42:50.648,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000012","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002661264","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000044","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000002391",,0,,,0,0,,false,false
"01.45.451.000.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,EQUIPMENT EXPENSED,false,false,2018-02-06 00:00:00.0,,"01.45.451.000.0000","01.45.451.000.0000","01.45.451.000.0000","0000310.0000000690 (t)",,"0008994.0000000038","0000000.0000000000",2015-05-31,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.45.451.000.0000,GL Account [01.45.451.000.0000] [] [EQUIPMENT EXPENSED],,"Account Tree: Active, Budget Check, EQUIP MAINT & LICENCE FEES, OLAA EQUIPMENT EXPENSED, OTHER EXPENSES
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,2017-03-06 16:27:32.461,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000029","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002613511","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000044","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000006569",,0,,,0,0,,false,false
"01.45.520.101.0000",true,true,,Account has transactions assigned - cannot be deleted,,,You cannot change the currency for this GLAccount as it has transactions,ACCOMMODATION - DOMESTIC,false,false,2018-02-06 00:00:00.0,,"01.45.520.101.0000","01.45.520.101.0000","01.45.520.101.0000","0000310.0000000691 (t)",,"0008994.0000000038","0000000.0000000000",2015-07-09,"Tran Tree: Product, Project","0002564.0000000010",GLAccount 01.45.520.101.0000,GL Account [01.45.520.101.0000] [] [ACCOMMODATION - DOMESTIC],,"Account Tree: Active, Budget Check, OLAA TRAVEL, OTHER EXPENSES, TRAVEL
Tran Tree: Product, Project","0000000.0000000000","0002389.0000000001",false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,2017-03-06 16:27:24.561,Talha.Ali,"0000000.0000000000","0002162.0000000074","0002162.0000000071","0000000.0000000000","0000000.0000000000","0000000.0000000000","0008995.0000000029","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002547.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002389.0000000001","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000063","0002607.0002614061","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0002162.0000000044","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000","0000000.0000000000",false,,"0002557.0000006619",,0,,,0,0,,false,false
